season,team,numGamesPlayoffs,numBlocksPlayoffs,numGamesRegular,numBlocksRegular
20062007,1,11.0,172.0,82.0,1127.0
20062007,2,5.0,91.0,82.0,1307.0
20062007,3,10.0,159.0,82.0,1386.0
20062007,5,5.0,88.0,82.0,1238.0
20062007,7,16.0,290.0,82.0,1248.0
20062007,9,20.0,310.0,82.0,1242.0
20062007,11,4.0,48.0,82.0,1293.0
20062007,14,6.0,70.0,82.0,1006.0
20062007,17,18.0,213.0,82.0,836.0
20062007,18,5.0,59.0,82.0,1010.0
20062007,20,6.0,77.0,82.0,1029.0
20062007,23,12.0,202.0,82.0,870.0
20062007,24,21.0,224.0,82.0,728.0
20062007,25,7.0,105.0,82.0,1039.0
20062007,28,11.0,147.0,82.0,1054.0
20062007,30,5.0,47.0,82.0,1006.0
20072008,1,5.0,36.0,82.0,830.0
20072008,3,10.0,109.0,82.0,1013.0
20072008,4,17.0,323.0,82.0,1173.0
20072008,5,20.0,334.0,82.0,1129.0
20072008,6,7.0,102.0,82.0,878.0
20072008,8,12.0,226.0,82.0,1343.0
20072008,9,4.0,46.0,82.0,1011.0
20072008,15,7.0,102.0,82.0,1005.0
20072008,17,22.0,217.0,82.0,709.0
20072008,18,6.0,71.0,82.0,873.0
20072008,20,7.0,78.0,82.0,764.0
20072008,21,10.0,143.0,82.0,1081.0
20072008,24,6.0,58.0,82.0,720.0
20072008,25,18.0,227.0,82.0,793.0
20072008,28,13.0,181.0,82.0,992.0
20072008,30,6.0,56.0,82.0,916.0
20082009,1,7.0,94.0,82.0,970.0
20082009,3,7.0,117.0,82.0,957.0
20082009,4,6.0,97.0,82.0,1243.0
20082009,5,24.0,406.0,82.0,1280.0
20082009,6,11.0,136.0,82.0,1072.0
20082009,8,4.0,59.0,82.0,1316.0
20082009,12,18.0,230.0,82.0,1194.0
20082009,15,14.0,188.0,82.0,1111.0
20082009,16,17.0,215.0,82.0,846.0
20082009,17,23.0,232.0,82.0,741.0
20082009,19,4.0,49.0,82.0,1128.0
20082009,20,6.0,50.0,82.0,788.0
20082009,23,10.0,137.0,82.0,993.0
20082009,24,13.0,196.0,82.0,801.0
20082009,28,6.0,78.0,82.0,968.0
20082009,29,4.0,57.0,82.0,1022.0
20092010,1,5.0,56.0,82.0,963.0
20092010,4,23.0,398.0,82.0,1254.0
20092010,5,13.0,181.0,82.0,1182.0
20092010,6,13.0,196.0,82.0,972.0
20092010,7,6.0,112.0,82.0,996.0
20092010,8,19.0,404.0,82.0,1344.0
20092010,9,6.0,129.0,82.0,1193.0
20092010,15,7.0,109.0,82.0,1153.0
20092010,16,22.0,370.0,82.0,1067.0
20092010,17,12.0,141.0,82.0,914.0
20092010,18,6.0,77.0,82.0,1006.0
20092010,21,6.0,128.0,82.0,1226.0
20092010,23,12.0,141.0,82.0,991.0
20092010,26,6.0,86.0,82.0,990.0
20092010,27,7.0,87.0,82.0,970.0
20092010,28,15.0,227.0,82.0,1062.0
20102011,3,5.0,103.0,82.0,1301.0
20102011,4,11.0,175.0,82.0,1317.0
20102011,5,7.0,89.0,82.0,1082.0
20102011,6,25.0,377.0,82.0,1172.0
20102011,7,7.0,119.0,82.0,1168.0
20102011,8,7.0,144.0,82.0,1272.0
20102011,14,18.0,336.0,82.0,1249.0
20102011,15,9.0,159.0,82.0,1257.0
20102011,16,7.0,115.0,82.0,1144.0
20102011,17,11.0,181.0,82.0,917.0
20102011,18,12.0,184.0,82.0,1007.0
20102011,23,25.0,362.0,82.0,1071.0
20102011,24,6.0,103.0,82.0,1248.0
20102011,26,6.0,117.0,82.0,1032.0
20102011,27,4.0,45.0,82.0,1056.0
20102011,28,18.0,338.0,82.0,1141.0
20112012,1,24.0,291.0,82.0,928.0
20112012,3,20.0,365.0,82.0,1338.0
20112012,4,11.0,193.0,82.0,1208.0
20112012,5,6.0,81.0,82.0,1065.0
20112012,6,7.0,92.0,82.0,1054.0
20112012,9,7.0,80.0,82.0,1078.0
20112012,13,7.0,85.0,82.0,1042.0
20112012,15,14.0,308.0,82.0,1302.0
20112012,16,6.0,67.0,82.0,1029.0
20112012,17,5.0,60.0,82.0,972.0
20112012,18,10.0,152.0,82.0,1213.0
20112012,19,9.0,163.0,82.0,1120.0
20112012,23,5.0,77.0,82.0,1019.0
20112012,26,20.0,272.0,82.0,969.0
20112012,27,16.0,275.0,82.0,1071.0
20112012,28,5.0,73.0,82.0,1327.0
20122013,2,6.0,88.0,48.0,766.0
20122013,3,12.0,249.0,48.0,773.0
20122013,5,15.0,258.0,48.0,735.0
20122013,6,22.0,363.0,48.0,650.0
20122013,8,5.0,98.0,48.0,702.0
20122013,9,10.0,130.0,48.0,616.0
20122013,10,7.0,141.0,48.0,826.0
20122013,15,7.0,130.0,48.0,765.0
20122013,16,23.0,317.0,48.0,652.0
20122013,17,14.0,184.0,48.0,560.0
20122013,19,6.0,77.0,48.0,677.0
20122013,23,4.0,55.0,48.0,566.0
20122013,24,7.0,110.0,48.0,776.0
20122013,26,18.0,237.0,48.0,511.0
20122013,28,11.0,203.0,48.0,800.0
20122013,30,5.0,79.0,48.0,614.0
20132014,3,25.0,419.0,82.0,1119.0
20132014,4,7.0,116.0,82.0,1200.0
20132014,5,13.0,183.0,82.0,1187.0
20132014,6,12.0,185.0,82.0,1051.0
20132014,8,17.0,318.0,82.0,1491.0
20132014,14,4.0,54.0,82.0,1121.0
20132014,16,19.0,336.0,82.0,1023.0
20132014,17,5.0,67.0,82.0,1014.0
20132014,19,6.0,115.0,82.0,1121.0
20132014,21,7.0,118.0,82.0,1202.0
20132014,24,13.0,226.0,82.0,1242.0
20132014,25,6.0,95.0,82.0,1210.0
20132014,26,26.0,400.0,82.0,927.0
20132014,28,7.0,108.0,82.0,1286.0
20132014,29,6.0,93.0,82.0,1081.0
20132014,30,13.0,195.0,82.0,1126.0
20142015,2,7.0,144.0,82.0,1323.0
20142015,3,19.0,292.0,82.0,1159.0
20142015,5,5.0,75.0,82.0,1094.0
20142015,8,12.0,206.0,82.0,1406.0
20142015,9,6.0,109.0,82.0,1045.0
20142015,14,26.0,383.0,82.0,1098.0
20142015,15,14.0,264.0,82.0,1271.0
20142015,16,23.0,361.0,82.0,1040.0
20142015,17,7.0,73.0,82.0,908.0
20142015,18,6.0,144.0,82.0,1180.0
20142015,19,6.0,79.0,82.0,1173.0
20142015,20,11.0,223.0,82.0,1557.0
20142015,23,6.0,81.0,82.0,1216.0
20142015,24,16.0,307.0,82.0,1162.0
20142015,30,10.0,156.0,82.0,1233.0
20152016,2,11.0,188.0,82.0,1322.0
20152016,3,5.0,71.0,82.0,1314.0
20152016,4,6.0,125.0,82.0,1309.0
20152016,5,10.0,188.0,82.0,1091.0
20152016,13,6.0,82.0,82.0,942.0
20152016,14,10.0,142.0,82.0,1027.0
20152016,15,11.0,173.0,82.0,1266.0
20152016,16,7.0,109.0,82.0,1133.0
20152016,17,5.0,62.0,82.0,909.0
20152016,18,12.0,233.0,82.0,1232.0
20152016,19,12.0,188.0,82.0,1127.0
20152016,24,7.0,104.0,82.0,1178.0
20152016,25,11.0,169.0,82.0,1224.0
20152016,26,5.0,83.0,82.0,1027.0
20152016,28,10.0,226.0,82.0,1292.0
20152016,30,6.0,137.0,82.0,1209.0
